accession	long	lat	4k	6k	ratio
7287	8.42255	53.3422	1551.72	1557.71	0.996154612
7296	29	59	218.24	215.35	1.013420014
7298	10.51	47.04	208.81	124.22	1.680969248
7305	10.6065	53.476	156.22	152.6	1.023722149
7306	-123.206	49.2655	170.18	180.48	0.942929965
7307	-2.96591	48.0653	247.53	205.66	1.203588447
7314	-3.41697	54.3512	512.13	285.71	1.792481887
7316	5.56667	51.9667	150	140.69	1.066173857
7319	12.1	42	163.77	168.56	0.971582819
7320	1.09849	49.4424	125.83	126.68	0.99329018
7323	38.28	49	324.74	191.03	1.699942417
7327	3.03333	41.7833	429.88	436.96	0.983797144
7332	-122.2	47	215.69	213.51	1.010210295
7333	11.5614	46.5438	215.22	115.16	1.868878083
7337	8.02341	50.8738	152.09	154.82	0.982366619
7342	-3.00733	53.6473	761.54	415.59	1.832431002
7343	13.181	52.5339	226.46	229.98	0.984694321
7344	9.5	47.6667	118.45	105.14	1.126593114
7346	11.8558	52.6058	206.35	126.91	1.625955401
7347	36	52	264.94	156.54	1.692474767
7349	14.5	49.5	156.18	160.93	0.970484061
7350	-122.459	47.2413	294.16	296.28	0.992844606
7353	4.3	52.08	217.83	116.36	1.872035064
7354	14.9	56.5	211.17	210.83	1.001612674
7356	-83.5553	41.6639	167.67	165.84	1.011034732
7358	-83.5553	41.6639	693.68	681.02	1.018589762
7359	-83.5553	41.6639	526.57	514.72	1.023022226
7372	9.9042	47.0748	595.83	601.79	0.990096213
7377	-85.2563	43.2708	148.21	150.16	0.987013852
7378	7.7667	48.0333	204.02	208.1	0.980394041
7382	5.1145	52.0918	97.77	88.35	1.106621392
7383	-123.206	49.2655	580.98	573.17	1.013625975
7384	5.55	52.0333	211.55	109	1.940825688
7387	-2.3671	54.9902	270.76	272.92	0.992085593
7394	21	52.3	160.79	160.92	0.999192145
7404	10.0667	52.6	210.24	222.63	0.944347123
7411	10.8134	47.9299	218.68	225.56	0.969498138
7416	-119.35	37.45	489.9	480.74	1.019053958
7418	8.55	47.3667	143.85	135.86	1.05881054
7419	8.32213	50.3058	581.35	330.23	1.760439694
742	-73.114	40.9352	157.68	161.22	0.978042426
7424	16.6166	49.2	137.94	84.31	1.636104851
7430	6.25	48.6167	133.09	79.02	1.68425715
7461	15	49	304.57	314.69	0.967841368
7475	-72.677	41.767	877.8	862.73	1.017467806
7477	-71.2825	41.7302	155.35	91	1.707142857
7514	-86.4251	41.5609	542.93	308.93	1.757453145
7515	-86.4251	41.5609	144.1	149.56	0.963492913
7520	16.81	49.38	295.21	305.61	0.9659697
7521	16.81	49.38	723.67	743.28	0.973616941
7523	-86.3253	42.0945	203.93	196.77	1.036387661
7525	-86.511	42.036	528.57	320.37	1.649873584
7529	-86.5128	42.0333	692.52	423.02	1.637085717
